t,v
0.00423,-0.698025
0.00424,-0.683876
0.00425,-0.669798
0.00426,-0.655793
0.00427,-0.64186
0.00428,-0.628002
0.00429,-0.614218
0.0043,-0.600509
0.00431,-0.586875
0.00432,-0.573318
0.00433,-0.559838
0.00434,-0.546435
0.00435,-0.53311
0.00436,-0.519864
0.00437,-0.506697
0.00438,-0.49361
0.00439,-0.480603
0.0044,-0.467677
0.00441,-0.454831
0.00442,-0.442068
0.00443,-0.429387
0.00444,-0.416788
0.00445,-0.404272
0.00446,-0.39184
0.00447,-0.379492
0.00448,-0.367228
0.00449,-0.355048
0.0045,-0.342954
0.00451,-0.330945
0.00452,-0.319022
0.00453,-0.307185
0.00454,-0.295435
0.00455,-0.283771
0.00456,-0.272195
0.00457,-0.260706
0.00458,-0.249304
0.00459,-0.237991
0.0046,-0.226765
0.00461,-0.215629
0.00462,-0.20458
0.00463,-0.193621
0.00464,-0.182751
0.00465,-0.17197
0.00466,-0.161279
0.00467,-0.150677
0.00468,-0.140166
0.00469,-0.129744
0.0047,-0.119413
0.00471,-0.109172
0.00472,-0.0990211
0.00473,-0.0889611
0.00474,-0.0789918
0.00475,-0.0691133
0.00476,-0.0593257
0.00477,-0.049629
0.00478,-0.0400234
0.00479,-0.0305089
0.0048,-0.0210855
0.00481,-0.0117533
0.00482,-0.00251229
0.00483,0.00663746
0.00484,0.015696
0.00485,0.0246632
0.00486,0.0335392
0.00487,0.042324
0.00488,0.0510176
0.00489,0.0596201
0.0049,0.0681313
0.00491,0.0765516
0.00492,0.0848808
0.00493,0.093119
0.00494,0.101266
0.00495,0.109323
0.00496,0.117289
0.00497,0.125164
0.00498,0.132949
0.00499,0.140644
0.005,0.148248
0.00501,0.155762
0.00502,0.163186
0.00503,0.17052
0.00504,0.177765
0.00505,0.18492
0.00506,0.191986
0.00507,0.198963
0.00508,0.205851
0.00509,0.21265
0.0051,0.21936
0.00511,0.225982
0.00512,0.232516
0.00513,0.238962
0.00514,0.24532
0.00515,0.251591
0.00516,0.257774
0.00517,0.263871
0.00518,0.26988
0.00519,0.275804
0.0052,0.281641
0.00521,0.287392
0.00522,0.293057
0.00523,0.298637
0.00524,0.304132
0.00525,0.309542
0.00526,0.314868
0.00527,0.320109
0.00528,0.325267
0.00529,0.330341
